iter	Passed	Remaining
576	847	621
577	851	621
578	853	620
579	857	621
580	858	619
581	859	617
582	862	616
583	864	615
584	865	613
585	866	611
586	869	611
587	871	610
588	872	608
589	875	608
590	876	606
591	877	604
592	878	603
593	880	601
594	881	600
595	882	598
596	886	598
597	887	596
598	888	594
599	889	592
600	890	591
601	892	590
602	893	588
603	893	586
604	895	584
605	896	583
606	897	581
607	898	579
608	899	577
609	899	575
610	901	574
611	903	572
612	903	570
613	904	568
614	905	566
615	906	564
616	907	563
617	909	561
618	909	559
619	910	558
620	911	556
621	912	554
622	913	553
623	914	551
624	916	549
625	916	547
626	917	545
627	920	545
628	921	543
629	921	541
630	922	539
631	923	537
632	923	535
633	927	535
634	928	533
635	929	531
636	930	530
637	933	529
638	934	527
639	935	526
640	940	526
641	941	524
642	942	523
643	944	522
644	946	520
645	946	518
646	947	517
647	949	515
648	951	514
649	953	513
650	957	513
651	959	511
652	961	510
653	963	509
654	965	508
655	968	507
656	970	506
657	971	504
658	974	504
659	975	502
660	977	501
661	979	500
662	980	498
663	981	496
664	983	495
665	985	494
666	987	492
667	990	492
668	993	491
669	994	489
670	995	488
671	997	486
672	998	484
673	1000	484
674	1003	482
675	1005	482
676	1007	480
677	1008	478
678	1009	477
679	1011	475
680	1013	474
681	1014	472
682	1015	471
683	1018	470
684	1019	468
685	1021	467
686	1024	466
687	1026	465
688	1028	464
689	1030	462
690	1031	461
691	1032	459
692	1034	458
693	1036	457
694	1038	455
695	1040	454
696	1042	453
697	1043	451
698	1044	449
699	1046	448
700	1047	446
701	1048	445
702	1049	443
703	1051	442
704	1053	440
705	1054	439
706	1054	437
707	1055	435
708	1059	434
709	1061	433
710	1062	431
711	1064	430
712	1066	429
713	1067	427
714	1069	426
715	1071	424
716	1072	423
717	1075	422
718	1076	420
719	1077	419
720	1078	417
721	1080	416
722	1082	414
723	1083	412
724	1083	411
725	1084	409
726	1086	408
727	1088	406
728	1089	404
729	1090	403
730	1090	401
731	1093	400
732	1095	398
733	1095	397
734	1096	395
735	1097	393
736	1098	392
737	1100	390
738	1101	389
739	1104	388
740	1106	386
741	1107	384
742	1108	383
743	1111	382
744	1112	380
745	1113	379
746	1116	378
747	1118	376
748	1118	374
749	1119	373
750	1122	372
751	1124	370
752	1125	369
753	1126	367
754	1128	366
755	1129	364
756	1130	362
757	1130	361
758	1131	359
759	1135	358
760	1136	356
761	1137	355
762	1137	353
763	1141	352
764	1141	350
765	1142	349
766	1143	347
767	1144	345
768	1146	344
769	1147	342
770	1148	341
771	1149	339
772	1150	337
773	1152	336
774	1153	334
775	1154	333
776	1154	331
777	1155	329
778	1158	328
779	1159	327
780	1160	325
781	1161	323
782	1161	322
783	1164	320
784	1165	319
785	1166	317
786	1167	315
787	1170	314
788	1171	313
789	1171	311
790	1172	309
791	1173	308
792	1175	306
793	1176	305
794	1177	303
795	1178	302
796	1179	300
797	1192	301
798	1193	300
799	1195	298
800	1196	297
801	1197	295
802	1197	293
803	1198	292
804	1200	290
805	1202	289
806	1203	287
807	1203	286
808	1204	284
809	1205	282
810	1208	281
811	1209	280
812	1210	278
813	1211	276
814	1213	275
815	1214	273
816	1215	272
817	1216	270
818	1216	268
819	1217	267
820	1219	265
821	1220	264
822	1221	262
823	1222	261
824	1223	259
825	1224	257
826	1226	256
827	1227	254
828	1228	253
829	1230	252
830	1231	250
831	1232	248
832	1233	247
833	1234	245
834	1237	244
835	1238	242
836	1238	241
837	1239	239
838	1242	238
839	1243	236
840	1244	235
841	1245	233
842	1248	232
843	1250	231
844	1251	229
845	1254	228
846	1256	226
847	1257	225
848	1257	223
849	1260	222
850	1261	220
851	1262	219
852	1262	217
853	1263	216
854	1265	214
855	1266	213
856	1267	211
857	1268	209
858	1269	208
859	1271	207
860	1272	205
861	1273	203
862	1274	202
863	1276	200
864	1278	199
865	1279	197
866	1279	196
867	1280	194
868	1282	193
869	1283	191
870	1284	190
871	1285	188
872	1302	189
873	1303	187
874	1304	186
875	1305	184
876	1306	183
877	1307	181
878	1309	180
879	1309	178
880	1310	177
881	1311	175
882	1313	174
883	1315	172
884	1315	171
885	1316	169
886	1318	168
887	1320	166
888	1321	164
889	1322	163
890	1323	161
891	1325	160
892	1326	158
893	1327	157
894	1328	155
895	1329	154
896	1331	152
897	1332	151
898	1332	149
899	1333	148
900	1334	146
901	1334	145
902	1335	143
903	1337	141
904	1337	140
905	1338	138
906	1339	137
907	1340	135
908	1341	134
909	1343	132
910	1345	131
911	1345	129
912	1346	128
913	1347	126
914	1349	125
915	1350	123
916	1351	122
917	1352	120
918	1353	119
919	1355	117
920	1356	116
921	1356	114
922	1358	113
923	1359	111
924	1361	110
925	1362	108
926	1363	107
927	1363	105
928	1364	104
929	1366	102
930	1368	101
931	1369	99
932	1370	98
933	1371	96
934	1372	95
935	1373	93
936	1374	92
937	1377	91
938	1379	89
939	1380	88
940	1381	86
941	1382	85
942	1383	83
943	1384	82
944	1385	80
945	1386	79
946	1388	77
947	1389	76
948	1390	74
949	1391	73
950	1394	71
951	1395	70
952	1395	68
953	1397	67
954	1399	65
955	1400	64
956	1401	62
957	1402	61
958	1405	60
959	1407	58
960	1411	57
961	1412	55
962	1414	54
963	1416	52
964	1418	51
965	1419	49
966	1421	48
967	1423	47
968	1424	45
969	1425	44
970	1427	42
971	1429	41
972	1429	39
973	1430	38
974	1431	36
975	1433	35
976	1434	33
977	1435	32
978	1436	30
979	1438	29
980	1439	27
981	1440	26
982	1441	24
983	1441	23
984	1444	22
985	1445	20
986	1446	19
987	1447	17
988	1448	16
989	1450	14
990	1451	13
991	1452	11
992	1453	10
993	1453	8
994	1454	7
995	1456	5
996	1457	4
997	1458	2
998	1458	1
999	1459	0
